title,url
"삼성전자, 라이프스타일TV '더 프레임' 85형 출시",http://www.newsis.com/view/?id=NISI20210725_0017710287
"초대형 TV로 라이프스타일…삼성전자, '더 프레임' 85형 출시",https://www.asiatime.co.kr/article/20210725500054
"삼성전자, CJ ENM과 버추얼 스튜디오 구축 파트너십 체결",http://www.fntimes.com/html/view.php?ud=202107261301218310645ffc9771_18
"삼성전자, 실속형 노트북 '갤럭시 북 Go' 출시… 50만원대",http://www.getnews.co.kr/news/articleView.html?idxno=541880
'청년 인재양성 산실' 삼성 청년SW아카데미 6기 950명 교육 시작,http://www.etnews.com/20210723000073
"삼성전자, 라이프스타일TV '더 프레임' 85형 출시",http://www.newsis.com/view/?id=NISI20210725_0017710287
"""연결성·휴대성·가성비""…삼성전자, 노트북 '갤럭시 북 고' 출시",https://www.ebn.co.kr/news/view/1493307/?sc=Naver
"삼성, CJ와 손잡고 버추얼 시장 공략 '속도'",http://www.the-pr.co.kr/news/articleView.html?idxno=47370
[김박사 오늘 기업·사람] 현대차·카카오·삼성전자·LG전자,https://biz.sbs.co.kr/article_hub/20000024484?division=NAVER
"삼성전자, 사설망·5G용 '삼성 SDN 솔루션' 출시",http://www.bloter.net/newsView/blt202107230005
"""라이프스타일TV도 초대형으로"" 삼성전자, '더 프레임' 85형 출시",http://www.babytimes.co.kr/news/articleView.html?idxno=48496
삼성전자-CJ ENM 버추얼 스튜디오 구축 파트너십 체결,http://www.seoulwire.com/news/articleView.html?idxno=447538
"삼성전자, 실속형 노트북 '갤럭시 북 Go' 출시",http://www.thebigdata.co.kr/view.php?ud=202107260922184607d0a8833aad_23
"""라이프스타일TV도 초대형으로"" 삼성전자, '더 프레임' 85형 출시",http://www.babytimes.co.kr/news/articleView.html?idxno=48496
CJ ENM·삼성전자 맞손…최첨단 버추얼 스튜디오 구축나서,http://www.nspna.com/news/?mode=view&newsid=516764
"'빅스비 개발' 이끌었던 래리 헥 전무, 삼성 떠났다",http://news.mt.co.kr/mtview.php?no=2021072517143560770
"삼성전자, 라이프스타일TV '더 프레임' 85형 출시",http://www.newsis.com/view/?id=NISI20210725_0017710286
"삼성전자 ""도쿄올림픽서 캐나다가 메달 딸 때마다 1000달러 기부""",https://view.asiae.co.kr/article/2021072517380250961
